Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
Connecticut,234,10,up,76,31
Minnesota,234,10,up,76,33
Massachusetts,233,9,up,77,31
Indiana,233,9,up,77,30
Kansas,232,8,up,76,29
Vermont,232,7,up,73,29
Texas,231,7,up,76,25
Iowa,231,7,up,75,26
Ohio,230,6,up,73,25
North Carolina,230,6,up,73,25
North Dakota,230,6,up,73,25
Maine,230,5,up,73,23
Virginia,230,5,up,71,24
Michigan,229,5,up,71,28
Wyoming,229,4,up,71,25
Montana,228,4,up,72,24
Missouri,228,4,up,71,23
Utah,227,3,same,69,23
DoDEA,227,2,same,69,21
New York,225,1,same,66,21
Nebraska,225,1,same,65,24
Idaho,224,#,same,68,20
National public,224,†,,64,22
Rhode Island,224,#,same,65,22
Oregon,224,#,same,65,23
Oklahoma,224,#,same,67,16
West Virginia,223,-1,same,65,17
Illinois,223,-1,same,63,20
Maryland,222,-3,same,60,21
South Carolina,220,-4,down,59,18
Tennessee,220,-4,down,59,18
Nevada,220,-5,down,60,16
Kentucky,219,-5,down,59,17
Georgia,219,-5,down,57,17
Arizona,219,-5,down,57,16
Louisiana,218,-6,down,57,14
Alabama,217,-7,down,55,13
Hawaii,216,-8,down,55,14
Arkansas,216,-8,down,55,14
New Mexico,213,-11,down,50,12
California,213,-12,down,50,13
Mississippi,211,-14,down,45,9
District of Columbia,192,-33,down,24,5
Wisconsin,‡,†,,‡,‡
Washington,—,†,,—,—
South Dakota,—,†,,—,—
Puerto Rico,—,†,,—,—
Pennsylvania,—,†,,—,—
New Jersey,—,†,,—,—
New Hampshire,—,†,,—,—
Florida,—,†,,—,—
Delaware,—,†,,—,—
Colorado,—,†,,—,—
Alaska,—,†,,—,—
